cnum	sn2	sn1	press_sim	comp
16	0.1717317998	0.1408709139	1000	18:0/18:1 PE
17	0.1319328547	0.1034508944	1000	18:0/18:1 PE
18	0.04557416588	0.03102738596	1000	18:0/18:1 PE
3	0.2092062384	0.1477005929	0	18:0/18:1 P-PE
4	0.2101968825	0.189664945	0	18:0/18:1 P-PE
5	0.2205401808	0.208362624	0	18:0/18:1 P-PE
6	0.2021378726	0.2249447703	0	18:0/18:1 P-PE
7	0.1908722967	0.2237123251	0	18:0/18:1 P-PE
8	0.119751662	0.2246128768	0	18:0/18:1 P-PE
9	0.07938015461	0.2160641402	0	18:0/18:1 P-PE
10	0.06578642875	0.2080195397	0	18:0/18:1 P-PE
11	0.09048265219	0.193976149	0	18:0/18:1 P-PE
12	0.1366599053	0.1811439991	0	18:0/18:1 P-PE
13	0.1397728175	0.163432166	0	18:0/18:1 P-PE
14	0.1443897635	0.1463014036	0	18:0/18:1 P-PE
15	0.1277056485	0.1260460168	0	18:0/18:1 P-PE
16	0.1149997041	0.105271399	0	18:0/18:1 P-PE
17	0.08666763455	0.07879794389	0	18:0/18:1 P-PE
